,ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
80,81,1.53,0.9,0.23,3.26,38.0,42.0,Acetone 1 ppm
81,82,1.45,0.88,0.23,3.21,38.0,42.0,Acetone 1 ppm
82,83,1.18,0.82,0.23,3.16,38.0,42.0,Acetone 1 ppm
83,84,0.9,0.79,0.23,3.1,38.0,42.0,Acetone 1 ppm
84,85,0.75,0.76,0.23,3.07,38.0,42.0,Acetone 1 ppm
85,86,0.68,0.73,0.23,3.06,38.0,42.0,Acetone 1 ppm
86,87,0.65,0.73,0.23,3.09,38.0,42.0,Acetone 1 ppm
87,88,0.64,0.72,0.23,3.13,38.0,42.0,Acetone 1 ppm
88,89,0.71,0.68,0.23,3.15,38.0,42.0,Acetone 1 ppm
89,90,0.83,0.63,0.23,3.17,38.0,42.0,Acetone 1 ppm
90,91,0.86,0.59,0.23,3.17,38.0,42.0,Acetone 1 ppm
91,92,0.84,0.56,0.23,3.17,38.0,42.0,Acetone 1 ppm
92,93,0.82,0.54,0.23,3.16,38.0,42.0,Acetone 1 ppm
93,94,0.82,0.53,0.23,3.15,38.0,42.0,Acetone 1 ppm
94,95,0.83,0.53,0.23,3.13,38.0,42.0,Acetone 1 ppm
95,96,0.84,0.53,0.23,3.12,38.0,42.0,Acetone 1 ppm
96,97,0.85,0.54,0.23,3.1,38.0,42.0,Acetone 1 ppm
97,98,0.87,0.54,0.23,3.08,38.0,42.0,Acetone 1 ppm
98,99,0.85,0.54,0.23,3.06,38.0,42.0,Acetone 1 ppm
99,100,0.81,0.54,0.23,3.04,38.0,42.0,Acetone 1 ppm
100,101,0.79,0.53,0.23,3.01,38.0,42.0,Acetone 1 ppm
101,102,0.75,0.53,0.23,2.98,38.0,42.0,Acetone 1 ppm
102,103,0.72,0.53,0.23,2.95,38.0,42.0,Acetone 1 ppm
103,104,0.71,0.52,0.23,2.93,38.0,42.0,Acetone 1 ppm
104,105,0.7,0.51,0.23,2.92,38.0,42.0,Acetone 1 ppm
105,106,0.69,0.51,0.23,2.91,38.0,42.0,Acetone 1 ppm
106,107,0.7,0.5,0.23,2.91,38.0,42.0,Acetone 1 ppm
107,108,0.71,0.49,0.23,2.91,38.0,42.0,Acetone 1 ppm
108,109,0.72,0.48,0.23,2.91,38.0,42.0,Acetone 1 ppm
109,110,0.73,0.48,0.23,2.9,38.0,42.0,Acetone 1 ppm
110,111,0.73,0.47,0.23,2.9,38.0,42.0,Acetone 1 ppm
111,112,0.72,0.47,0.23,2.89,38.0,42.0,Acetone 1 ppm
112,113,0.64,0.47,0.23,2.88,38.0,42.0,Acetone 1 ppm
113,114,0.56,0.46,0.23,2.86,38.0,42.0,Acetone 1 ppm
114,115,0.53,0.46,0.23,2.84,38.0,42.0,Acetone 1 ppm
115,116,0.55,0.44,0.23,2.82,38.0,42.0,Acetone 1 ppm
116,117,0.61,0.41,0.23,2.8,38.0,42.0,Acetone 1 ppm
117,118,0.61,0.39,0.23,2.78,38.0,42.0,Acetone 1 ppm
118,119,0.6,0.38,0.23,2.76,38.0,42.0,Acetone 1 ppm
119,120,0.62,0.37,0.23,2.73,38.0,42.0,Acetone 1 ppm
120,121,0.66,0.37,0.23,2.69,38.0,42.0,Acetone 1 ppm
121,122,0.67,0.38,0.23,2.64,38.0,42.0,Acetone 1 ppm
122,123,0.64,0.37,0.23,2.6,38.0,42.0,Acetone 1 ppm
123,124,0.59,0.37,0.23,2.56,38.0,42.0,Acetone 1 ppm
124,125,0.56,0.37,0.23,2.51,38.0,42.0,Acetone 1 ppm
125,126,0.52,0.37,0.23,2.47,38.0,42.0,Acetone 1 ppm
126,127,0.47,0.36,0.23,2.46,38.0,42.0,Acetone 1 ppm
127,128,0.43,0.36,0.23,2.46,38.0,42.0,Acetone 1 ppm
128,129,0.4,0.35,0.23,2.4,38.0,42.0,Acetone 1 ppm
129,130,0.43,0.33,0.23,2.33,38.0,42.0,Acetone 1 ppm
130,131,0.4,0.32,0.23,2.27,38.0,42.0,Acetone 1 ppm
131,132,0.34,0.31,0.23,2.19,38.0,42.0,Acetone 1 ppm
132,133,0.34,0.3,0.3,2.14,38.0,42.0,Acetone 1 ppm
133,134,0.33,0.3,0.49,2.11,38.0,42.0,Acetone 1 ppm
134,135,0.28,0.29,0.59,2.05,38.0,42.0,Acetone 1 ppm
135,136,0.25,0.28,0.62,1.98,38.0,42.0,Acetone 1 ppm
136,137,0.28,0.27,0.65,1.96,38.0,42.0,Acetone 1 ppm
137,138,0.24,0.27,0.7,1.96,38.0,42.0,Acetone 1 ppm
138,139,0.24,0.27,0.79,1.92,38.0,42.0,Acetone 1 ppm
139,140,0.24,0.26,0.86,1.86,38.0,42.0,Acetone 1 ppm
140,141,0.23,0.26,0.9,1.82,38.0,42.0,Acetone 1 ppm
141,142,0.21,0.25,0.94,1.78,38.0,42.0,Acetone 1 ppm
142,143,0.19,0.25,0.97,1.72,38.0,42.0,Acetone 1 ppm
143,144,0.18,0.25,0.97,1.65,38.0,42.0,Acetone 1 ppm
144,145,0.17,0.25,0.96,1.61,38.0,42.0,Acetone 1 ppm
145,146,0.16,0.25,0.96,1.58,38.0,42.0,Acetone 1 ppm
146,147,0.17,0.25,0.96,1.58,38.0,42.0,Acetone 1 ppm
147,148,0.21,0.24,0.96,1.57,38.0,42.0,Acetone 1 ppm
148,149,0.23,0.24,0.95,1.53,38.0,42.0,Acetone 1 ppm
149,150,0.19,0.24,0.93,1.47,38.0,42.0,Acetone 1 ppm
150,151,0.16,0.23,0.91,1.4,38.0,42.0,Acetone 1 ppm
151,152,0.16,0.23,0.89,1.35,38.0,42.0,Acetone 1 ppm
152,153,0.17,0.23,0.88,1.32,38.0,42.0,Acetone 1 ppm
153,154,0.19,0.23,0.87,1.3,38.0,42.0,Acetone 1 ppm
154,155,0.21,0.23,0.86,1.28,38.0,42.0,Acetone 1 ppm
155,156,0.22,0.22,0.85,1.25,38.0,42.0,Acetone 1 ppm
156,157,0.22,0.22,0.83,1.2,38.0,42.0,Acetone 1 ppm
157,158,0.19,0.22,0.82,1.16,38.0,42.0,Acetone 1 ppm
281,282,0.06,0.14,0.22,0.17,30.0,61.0,Acetone 2 ppm
282,283,0.05,0.14,0.22,0.17,30.0,61.0,Acetone 2 ppm
283,284,0.05,0.14,0.22,0.17,30.0,61.0,Acetone 2 ppm
284,285,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
285,286,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
286,287,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
287,288,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
288,289,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
289,290,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
290,291,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
291,292,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
292,293,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
293,294,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
294,295,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
295,296,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
296,297,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
297,298,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
298,299,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
299,300,0.05,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
300,301,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
301,302,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
302,303,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
303,304,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
304,305,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
305,306,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
306,307,0.04,0.14,0.22,0.16,30.0,61.0,Acetone 2 ppm
307,308,0.04,0.14,0.22,0.15,30.0,61.0,Acetone 2 ppm
308,309,0.04,0.14,0.22,0.15,30.0,61.0,Acetone 2 ppm
309,310,0.04,0.14,0.22,0.15,30.0,61.0,Acetone 2 ppm
310,311,0.04,0.14,0.22,0.15,30.0,61.0,Acetone 2 ppm
311,312,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
312,313,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
313,314,0.04,0.14,0.22,0.15,30.0,61.0,Acetone 2 ppm
314,315,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
315,316,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
316,317,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
317,318,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
318,319,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
319,320,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
320,321,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
321,322,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
322,323,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
323,324,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
324,325,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
325,326,0.04,0.13,0.22,0.15,30.0,61.0,Acetone 2 ppm
326,327,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
327,328,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
328,329,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
329,330,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
330,331,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
331,332,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
332,333,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
333,334,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
334,335,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
335,336,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
336,337,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
337,338,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
338,339,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
339,340,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
340,341,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
341,342,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
342,343,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
343,344,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
344,345,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
345,346,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
346,347,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
347,348,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
348,349,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
349,350,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
350,351,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
351,352,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
352,353,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
353,354,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
354,355,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
355,356,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
356,357,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
357,358,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
358,359,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
359,360,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
360,361,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
361,362,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
362,363,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
363,364,0.04,0.13,0.21,0.15,30.0,61.0,Acetone 2 ppm
364,365,0.04,0.13,0.21,0.15,32.0,61.0,Acetone 2 ppm
365,366,0.04,0.13,0.21,0.15,32.0,61.0,Acetone 2 ppm
366,367,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
367,368,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
368,369,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
369,370,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
370,371,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
371,372,0.04,0.13,0.21,0.15,32.0,58.0,Acetone 2 ppm
372,373,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
373,374,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
374,375,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
375,376,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
376,377,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
377,378,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
378,379,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
379,380,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
380,381,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
381,382,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
382,383,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
383,384,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
384,385,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
385,386,0.04,0.14,0.21,0.15,32.0,58.0,Acetone 2 ppm
386,387,0.04,0.16,0.21,0.15,32.0,58.0,Acetone 2 ppm
