ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
2462,0.9,0.46,0.22,3.96,41,31,Acetone 8 ppm
2463,2.02,0.97,0.28,3.94,41,31,Acetone 8 ppm
2464,2.41,1.36,0.41,3.93,41,31,Acetone 8 ppm
2465,2.46,1.62,0.51,3.91,41,31,Acetone 8 ppm
2466,2.7,1.89,0.6,3.89,41,31,Acetone 8 ppm
2467,3.34,2.41,0.77,3.87,41,31,Acetone 8 ppm
2468,3.37,2.53,1.01,3.84,41,31,Acetone 8 ppm
2469,3.37,2.63,1.25,3.81,41,31,Acetone 8 ppm
2470,3.65,2.86,1.55,3.77,41,31,Acetone 8 ppm
2471,3.67,2.93,1.84,3.74,41,31,Acetone 8 ppm
2472,3.61,2.94,2.05,3.7,41,31,Acetone 8 ppm
2473,3.5,2.9,2.17,3.66,41,31,Acetone 8 ppm
2474,3.33,2.8,2.23,3.62,41,31,Acetone 8 ppm
2475,3.31,2.78,2.26,3.57,41,31,Acetone 8 ppm
2476,3.27,2.73,2.26,3.52,41,31,Acetone 8 ppm
2477,3.22,2.65,2.25,3.47,41,31,Acetone 8 ppm
2478,3.16,2.61,2.22,3.41,41,31,Acetone 8 ppm
2479,3.15,2.58,2.18,3.36,41,31,Acetone 8 ppm
2480,2.96,2.51,2.14,3.3,41,31,Acetone 8 ppm
2481,2.85,2.39,2.08,3.24,41,31,Acetone 8 ppm
2482,2.56,2.2,1.99,3.18,41,31,Acetone 8 ppm
2483,2.58,2.11,1.91,3.1,41,31,Acetone 8 ppm
2484,2.53,2,1.84,3.04,41,31,Acetone 8 ppm
2485,2.45,1.94,1.76,2.96,41,31,Acetone 8 ppm
