ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
96,0.84,0.53,0.23,3.12,38,42,Acetone 1 ppm
97,0.85,0.54,0.23,3.1,38,42,Acetone 1 ppm
98,0.87,0.54,0.23,3.08,38,42,Acetone 1 ppm
99,0.85,0.54,0.23,3.06,38,42,Acetone 1 ppm
100,0.81,0.54,0.23,3.04,38,42,Acetone 1 ppm
101,0.79,0.53,0.23,3.01,38,42,Acetone 1 ppm
102,0.75,0.53,0.23,2.98,38,42,Acetone 1 ppm
103,0.72,0.53,0.23,2.95,38,42,Acetone 1 ppm
104,0.71,0.52,0.23,2.93,38,42,Acetone 1 ppm
105,0.7,0.51,0.23,2.92,38,42,Acetone 1 ppm
106,0.69,0.51,0.23,2.91,38,42,Acetone 1 ppm
107,0.7,0.5,0.23,2.91,38,42,Acetone 1 ppm
108,0.71,0.49,0.23,2.91,38,42,Acetone 1 ppm
109,0.72,0.48,0.23,2.91,38,42,Acetone 1 ppm
110,0.73,0.48,0.23,2.9,38,42,Acetone 1 ppm
111,0.73,0.47,0.23,2.9,38,42,Acetone 1 ppm
112,0.72,0.47,0.23,2.89,38,42,Acetone 1 ppm
113,0.64,0.47,0.23,2.88,38,42,Acetone 1 ppm
114,0.56,0.46,0.23,2.86,38,42,Acetone 1 ppm
115,0.53,0.46,0.23,2.84,38,42,Acetone 1 ppm
116,0.55,0.44,0.23,2.82,38,42,Acetone 1 ppm
117,0.61,0.41,0.23,2.8,38,42,Acetone 1 ppm
118,0.61,0.39,0.23,2.78,38,42,Acetone 1 ppm
119,0.6,0.38,0.23,2.76,38,42,Acetone 1 ppm
120,0.62,0.37,0.23,2.73,38,42,Acetone 1 ppm
121,0.66,0.37,0.23,2.69,38,42,Acetone 1 ppm
122,0.67,0.38,0.23,2.64,38,42,Acetone 1 ppm
123,0.64,0.37,0.23,2.6,38,42,Acetone 1 ppm
124,0.59,0.37,0.23,2.56,38,42,Acetone 1 ppm
125,0.56,0.37,0.23,2.51,38,42,Acetone 1 ppm
126,0.52,0.37,0.23,2.47,38,42,Acetone 1 ppm
127,0.47,0.36,0.23,2.46,38,42,Acetone 1 ppm
128,0.43,0.36,0.23,2.46,38,42,Acetone 1 ppm
129,0.4,0.35,0.23,2.4,38,42,Acetone 1 ppm
130,0.43,0.33,0.23,2.33,38,42,Acetone 1 ppm
131,0.4,0.32,0.23,2.27,38,42,Acetone 1 ppm
132,0.34,0.31,0.23,2.19,38,42,Acetone 1 ppm
133,0.34,0.3,0.3,2.14,38,42,Acetone 1 ppm
134,0.33,0.3,0.49,2.11,38,42,Acetone 1 ppm
135,0.28,0.29,0.59,2.05,38,42,Acetone 1 ppm
136,0.25,0.28,0.62,1.98,38,42,Acetone 1 ppm
137,0.28,0.27,0.65,1.96,38,42,Acetone 1 ppm
138,0.24,0.27,0.7,1.96,38,42,Acetone 1 ppm
139,0.24,0.27,0.79,1.92,38,42,Acetone 1 ppm
140,0.24,0.26,0.86,1.86,38,42,Acetone 1 ppm
141,0.23,0.26,0.9,1.82,38,42,Acetone 1 ppm
142,0.21,0.25,0.94,1.78,38,42,Acetone 1 ppm
143,0.19,0.25,0.97,1.72,38,42,Acetone 1 ppm
144,0.18,0.25,0.97,1.65,38,42,Acetone 1 ppm
145,0.17,0.25,0.96,1.61,38,42,Acetone 1 ppm
146,0.16,0.25,0.96,1.58,38,42,Acetone 1 ppm
147,0.17,0.25,0.96,1.58,38,42,Acetone 1 ppm
148,0.21,0.24,0.96,1.57,38,42,Acetone 1 ppm
149,0.23,0.24,0.95,1.53,38,42,Acetone 1 ppm
150,0.19,0.24,0.93,1.47,38,42,Acetone 1 ppm
151,0.16,0.23,0.91,1.4,38,42,Acetone 1 ppm
152,0.16,0.23,0.89,1.35,38,42,Acetone 1 ppm
153,0.17,0.23,0.88,1.32,38,42,Acetone 1 ppm
154,0.19,0.23,0.87,1.3,38,42,Acetone 1 ppm
155,0.21,0.23,0.86,1.28,38,42,Acetone 1 ppm
156,0.22,0.22,0.85,1.25,38,42,Acetone 1 ppm
157,0.22,0.22,0.83,1.2,38,42,Acetone 1 ppm
158,0.19,0.22,0.82,1.16,38,42,Acetone 1 ppm
159,0.17,,0.8,1.15,38,42,Acetone 1 ppm
160,0.15,,0.78,1.15,38,42,Acetone 1 ppm
161,0.18,,0.76,1.15,38,42,Acetone 1 ppm
162,0.19,,0.74,1.13,38,42,Acetone 1 ppm
163,0.18,,0.72,1.1,38,42,Acetone 1 ppm
164,0.16,,0.71,1.07,38,42,Acetone 1 ppm
165,0.16,,0.7,1.04,38,42,Acetone 1 ppm
166,0.15,,0.68,1,38,42,Acetone 1 ppm
167,0.14,,0.67,0.97,38,42,Acetone 1 ppm
168,0.13,,0.66,0.94,38,42,Acetone 1 ppm
169,0.13,,0.65,0.92,38,42,Acetone 1 ppm
170,0.12,,0.64,0.9,38,42,Acetone 1 ppm
171,0.12,,0.62,0.88,38,42,Acetone 1 ppm
172,0.12,,0.6,0.84,38,42,Acetone 1 ppm
173,0.12,,0.58,0.78,38,42,Acetone 1 ppm
174,0.1,,0.57,0.73,38,42,Acetone 1 ppm
175,0.1,,0.58,0.67,38,42,Acetone 1 ppm
176,0.09,,0.58,0.62,38,42,Acetone 1 ppm
177,0.08,,0.57,0.59,38,42,Acetone 1 ppm
178,0.08,,0.57,0.55,38,42,Acetone 1 ppm
179,0.08,,0.56,0.53,38,42,Acetone 1 ppm
180,0.08,,0.54,0.5,38,42,Acetone 1 ppm
181,0.07,,0.53,0.47,38,42,Acetone 1 ppm
182,0.07,,0.52,0.44,38,42,Acetone 1 ppm
183,0.07,,0.52,0.43,38,42,Acetone 1 ppm
184,0.06,,0.51,0.41,38,42,Acetone 1 ppm
185,0.07,,0.51,0.39,38,42,Acetone 1 ppm
186,0.07,,0.51,0.37,38,42,Acetone 1 ppm
187,0.07,,0.51,0.35,38,42,Acetone 1 ppm
188,0.06,,0.51,0.34,38,42,Acetone 1 ppm
189,0.06,,0.52,0.33,38,42,Acetone 1 ppm
190,0.06,,0.54,0.32,38,42,Acetone 1 ppm
191,0.06,,0.55,0.31,38,42,Acetone 1 ppm
192,0.06,,0.56,0.3,38,42,Acetone 1 ppm
193,0.06,,0.55,0.29,38,42,Acetone 1 ppm
194,0.05,,0.53,0.28,38,42,Acetone 1 ppm
195,0.05,,0.52,0.28,38,42,Acetone 1 ppm
196,0.05,,0.5,0.28,38,42,Acetone 1 ppm
197,0.06,,0.49,0.28,38,42,Acetone 1 ppm
198,0.06,,0.48,0.28,38,42,Acetone 1 ppm
199,0.06,,0.47,0.27,38,42,Acetone 1 ppm
200,0.06,,0.46,0.27,38,42,Acetone 1 ppm
201,0.05,,0.44,0.27,38,42,Acetone 1 ppm
202,0.05,,0.43,0.27,38,42,Acetone 1 ppm
203,0.05,,0.43,0.26,38,42,Acetone 1 ppm
204,0.05,,0.42,0.26,38,42,Acetone 1 ppm
205,0.05,,0.4,0.25,38,42,Acetone 1 ppm
206,0.05,,0.39,0.25,38,42,Acetone 1 ppm
207,0.05,,0.39,0.25,38,42,Acetone 1 ppm
208,0.05,,0.38,0.25,38,42,Acetone 1 ppm
209,0.05,,0.38,0.25,38,42,Acetone 1 ppm
210,0.05,,0.38,0.25,38,42,Acetone 1 ppm
211,0.05,,0.37,0.24,38,42,Acetone 1 ppm
212,0.05,,0.37,0.24,38,42,Acetone 1 ppm
213,0.05,,0.37,0.24,38,42,Acetone 1 ppm
214,0.05,,0.36,0.24,38,42,Acetone 1 ppm
215,0.05,,0.36,0.24,38,42,Acetone 1 ppm
216,0.05,,0.35,0.24,38,42,Acetone 1 ppm
217,0.05,,0.35,0.24,38,42,Acetone 1 ppm
218,0.05,,0.34,0.24,38,42,Acetone 1 ppm
219,0.05,,0.34,0.23,38,42,Acetone 1 ppm
220,0.05,,0.33,0.23,38,42,Acetone 1 ppm
221,0.05,,0.33,0.23,38,42,Acetone 1 ppm
222,0.05,,0.33,0.23,38,42,Acetone 1 ppm
223,0.05,,0.33,0.23,38,42,Acetone 1 ppm
224,0.05,,0.32,0.23,38,42,Acetone 1 ppm
225,0.05,,0.32,0.22,38,42,Acetone 1 ppm
226,0.05,,0.32,0.22,38,42,Acetone 1 ppm
227,0.05,,0.32,0.22,38,42,Acetone 1 ppm
228,0.05,,0.31,0.22,38,42,Acetone 1 ppm
229,0.05,,0.31,0.22,38,42,Acetone 1 ppm
230,0.05,,0.31,0.22,38,42,Acetone 1 ppm
231,0.05,,0.31,0.22,38,42,Acetone 1 ppm
232,0.05,,0.3,0.22,38,42,Acetone 1 ppm
233,0.05,,0.3,0.22,38,42,Acetone 1 ppm
234,,,0.3,,38,42,Acetone 1 ppm
235,,,0.3,,38,42,Acetone 1 ppm
236,,,0.29,,38,42,Acetone 1 ppm
237,,,0.29,,38,42,Acetone 1 ppm
238,,,0.29,,38,42,Acetone 1 ppm
239,,,0.28,,38,42,Acetone 1 ppm
240,,,0.28,,38,42,Acetone 1 ppm
241,,,0.27,,38,42,Acetone 1 ppm
242,,,0.27,,38,42,Acetone 1 ppm
243,,,0.27,,38,42,Acetone 1 ppm
244,,,0.27,,38,42,Acetone 1 ppm
245,,,0.26,,38,42,Acetone 1 ppm
246,,,0.26,,38,42,Acetone 1 ppm
247,,,0.26,,38,42,Acetone 1 ppm
248,,,0.26,,38,42,Acetone 1 ppm
249,,,0.26,,38,42,Acetone 1 ppm
250,,,0.25,,38,42,Acetone 1 ppm
251,,,0.25,,38,42,Acetone 1 ppm
252,,,0.25,,38,42,Acetone 1 ppm
253,,,0.25,,38,42,Acetone 1 ppm
254,,,0.25,,38,42,Acetone 1 ppm
255,,,0.25,,38,42,Acetone 1 ppm
256,,,0.24,,38,42,Acetone 1 ppm
257,,,0.24,,38,42,Acetone 1 ppm
258,,,0.24,,38,42,Acetone 1 ppm
259,,,0.24,,38,42,Acetone 1 ppm
260,,,0.24,,38,42,Acetone 1 ppm
261,,,0.24,,38,42,Acetone 1 ppm
262,,,0.24,,38,42,Acetone 1 ppm
263,,,0.24,,38,42,Acetone 1 ppm
264,,,0.24,,38,42,Acetone 1 ppm
265,,,0.24,,38,42,Acetone 1 ppm
266,,,0.24,,38,42,Acetone 1 ppm
267,,,0.24,,38,42,Acetone 1 ppm
268,,,0.24,,38,42,Acetone 1 ppm
269,,,0.24,,38,42,Acetone 1 ppm
270,,,0.24,,38,42,Acetone 1 ppm
271,,,0.23,,38,42,Acetone 1 ppm
272,,,0.23,,38,42,Acetone 1 ppm
273,,,0.23,,38,42,Acetone 1 ppm
274,,,0.23,,38,42,Acetone 1 ppm
275,,,0.23,,38,42,Acetone 1 ppm
276,,,0.23,,38,42,Acetone 1 ppm
277,,,0.23,,38,42,Acetone 1 ppm
278,,,0.23,,38,42,Acetone 1 ppm
279,,,0.23,,38,42,Acetone 1 ppm
